GO_name,GO_term,GO_definition
negative regulation of interleukin-1 beta production,GO:0032691,"Any process that stops, prevents, or reduces the frequency, rate, or extent of interleukin-1 beta production."
negative regulation of cytokine production involved in inflammatory response,GO:1900016,"Any process that stops, prevents or reduces the frequency, rate or extent of cytokine production involved in inflammatory response."
negative regulation of protein processing,GO:0010955,"Any process that decreases the rate, frequency or extent of protein maturation by peptide bond cleavage."
negative regulation of aspartic-type peptidase activity,GO:1905246,"Any process that stops, prevents or reduces the frequency, rate or extent of aspartic-type peptidase activity."
collagen-activated signaling pathway,GO:0038065,"A series of molecular signals initiated by collagen binding to a cell surface receptor, and ending with regulation of a downstream cellular process, e.g. transcription."
regulation of natural killer cell mediated cytotoxicity,GO:0042269,"Any process that modulates the frequency, rate, or extent of natural killer cell mediated cytotoxicity."
mRNA export from nucleus,GO:0006406,The directed movement of mRNA from the nucleus to the cytoplasm.
"regulation of alternative mRNA splicing, via spliceosome",GO:0000381,"Any process that modulates the frequency, rate or extent of alternative splicing of nuclear mRNAs."
dosage compensation by inactivation of X chromosome,GO:0009048,"Compensating for the two-fold variation in X-chromosome:autosome ratios between sexes by a global inactivation of all, or most of, the genes on one of the X-chromosomes in the XX sex."
posttranscriptional regulation of gene expression,GO:0010608,"Any process that modulates the frequency, rate or extent of gene expression after the production of an RNA transcript."
mRNA splice site selection,GO:0006376,Selection of a splice site by components of the assembling spliceosome.
"regulation of mRNA splicing, via spliceosome",GO:0048024,"Any process that modulates the frequency, rate or extent of mRNA splicing via a spliceosomal mechanism."
DNA recombination,GO:0006310,"Any process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents. In eukaryotes genetic recombination can occur by chromosome assortment, intrachromosomal recombination, or nonreciprocal interchromosomal recombination. Interchromosomal recombination occurs by crossing over. In bacteria it may occur by genetic transformation, conjugation, transduction, or F-duction."
apoptotic signaling pathway,GO:0097190,"A series of molecular signals which triggers the apoptotic death of a cell. The pathway starts with reception of a signal, and ends when the execution phase of apoptosis is triggered."
protein deubiquitination,GO:0016579,The removal of one or more ubiquitin groups from a protein.
spliceosomal tri-snRNP complex assembly,GO:0000244,The formation of a tri-snRNP complex containing U4 and U6 (or U4atac and U6atac) snRNAs and U5 snRNAs and associated proteins. This includes reannealing of U4 and U6 (or U4atac and U6atac) snRNAs released from previous rounds of splicing to reform the U4/U6 snRNP (or U4atac/U6atac snRNP) as well as the subsequent association of the U5 snRNP with the U4/U6 snRNP (or U4atac/U6atac snRNP) to form a tri-snRNP that is ready to reassemble into another spliceosome complex.
inflammatory response,GO:0006954,"The immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. The process is characterized by local vasodilation, extravasation of plasma into intercellular spaces and accumulation of white blood cells and macrophages."
negative regulation of NF-kappaB transcription factor activity,GO:0032088,"Any process that stops, prevents, or reduces the frequency, rate or extent of the activity of the transcription factor NF-kappaB."
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0043280,Any process that activates or increases the activity of a cysteine-type endopeptidase involved in the apoptotic process.
defense response,GO:0006952,"Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
