electron transport chain,GO:0022900
auditory receptor cell morphogenesis,GO:0002093
vestibulocochlear nerve development,GO:0021562
auditory behavior,GO:0031223
multicellular organism growth,GO:0035264
vestibular reflex,GO:0060005
cochlea development,GO:0090102
apical protein localization,GO:0045176
camera-type eye morphogenesis,GO:0048593
lens morphogenesis in camera-type eye,GO:0002089
melanosome organization,GO:0032438
ear development,GO:0043583
melanosome transport,GO:0032402
multivesicular body sorting pathway,GO:0071985
anterograde axonal protein transport,GO:0099641
negative regulation of flagellated sperm motility,GO:1901318
sperm capacitation,GO:0048240
positive regulation of serine-type endopeptidase activity,GO:1900005
positive regulation of intracellular protein transport,GO:0090316
regulation of delayed rectifier potassium channel activity,GO:1902259
psychomotor behavior,GO:0036343
positive regulation of peptide hormone secretion,GO:0090277
COPII-coated vesicle budding,GO:0090114
COPII-coated vesicle cargo loading,GO:0090110
nucleotide metabolic process,GO:0009117
lipid droplet organization,GO:0034389
triglyceride biosynthetic process,GO:0019432
acylglycerol acyl-chain remodeling,GO:0036155
glycerophospholipid metabolic process,GO:0006650
response to sucrose,GO:0009744
white fat cell differentiation,GO:0050872
negative regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation,GO:1903912
interleukin-7-mediated signaling pathway,GO:0038111
positive regulation of interleukin-5 production,GO:0032754
positive regulation of receptor signaling pathway via STAT,GO:1904894
positive regulation of mast cell activation,GO:0033005
TNFSF11-mediated signaling pathway,GO:0071847
lymph node development,GO:0048535
circadian temperature homeostasis,GO:0060086
mammary gland alveolus development,GO:0060749
multinuclear osteoclast differentiation,GO:0072674
dynamin family protein polymerization involved in mitochondrial fission,GO:0003374
regulation of mitochondrion organization,GO:0010821
replication-born double-strand break repair via sister chromatid exchange,GO:1990414
mitotic cell cycle arrest,GO:0071850
chromosome separation,GO:0051304
mitochondrial DNA metabolic process,GO:0032042
protein maturation,GO:0051604
innate immune response in mucosa,GO:0002227
positive regulation of flagellated sperm motility involved in capacitation,GO:0060474
regulation of protein kinase B signaling,GO:0051896
translational termination,GO:0006415
toxin metabolic process,GO:0009404
antifungal humoral response,GO:0019732
somatic diversification of immunoglobulins,GO:0016445
defense response to protozoan,GO:0042832
tricarboxylic acid cycle,GO:0006099
malate metabolic process,GO:0006108
regulation of TORC1 signaling,GO:1903432
negative regulation of macroautophagy,GO:0016242
positive regulation of autophagosome maturation,GO:1901098
negative regulation of autophagosome assembly,GO:1902902
ventral spinal cord interneuron specification,GO:0021521
forebrain neuron differentiation,GO:0021879
forebrain neuron development,GO:0021884
regulation of oligodendrocyte differentiation,GO:0048713
one-carbon metabolic process,GO:0006730
folic acid metabolic process,GO:0046655
carnitine biosynthetic process,GO:0045329
tetrahydrofolate metabolic process,GO:0046653
L-serine catabolic process,GO:0006565
L-serine metabolic process,GO:0006563
autophagic cell death,GO:0048102
Golgi to lysosome transport,GO:0090160
granzyme-mediated programmed cell death signaling pathway,GO:0140507
establishment of protein localization to organelle,GO:0072594
regulation of organelle transport along microtubule,GO:1902513
cellular respiration,GO:0045333
regulation of mitochondrial membrane potential,GO:0051881
apoptotic mitochondrial changes,GO:0008637
prostaglandin metabolic process,GO:0006693
positive regulation of reactive oxygen species metabolic process,GO:2000379
renal absorption,GO:0070293
cyclooxygenase pathway,GO:0019371
daunorubicin metabolic process,GO:0044597
doxorubicin metabolic process,GO:0044598
progesterone metabolic process,GO:0042448
testosterone biosynthetic process,GO:0061370
cellular response to jasmonic acid stimulus,GO:0071395
regulation of retinoic acid receptor signaling pathway,GO:0048385
cellular response to prostaglandin stimulus,GO:0071379
cellular response to prostaglandin D stimulus,GO:0071799
circadian rhythm,GO:0007623
lipid storage,GO:0019915
ovulation,GO:0030728
stress fiber assembly,GO:0043149
phagolysosome assembly,GO:0001845
positive regulation of extrinsic apoptotic signaling pathway in absence of ligand,GO:2001241
cellular response to epidermal growth factor stimulus,GO:0071364
cellular response to thyroid hormone stimulus,GO:0097067
sterol biosynthetic process,GO:0016126
ribosome assembly,GO:0042255
negative regulation of oxidative stress-induced cell death,GO:1903202
ventricular septum development,GO:0003281
atrioventricular canal development,GO:0036302
positive regulation of vascular endothelial growth factor production,GO:0010575
endocardial cushion development,GO:0003197
cardiac ventricle morphogenesis,GO:0003208
atrioventricular valve formation,GO:0003190
atrial septum primum morphogenesis,GO:0003289
positive regulation of cardioblast differentiation,GO:0051891
atrial septum morphogenesis,GO:0060413
cardiac muscle tissue regeneration,GO:0061026
positive regulation of 3'-UTR-mediated mRNA stabilization,GO:1905870
glycogen metabolic process,GO:0005977
glycogen catabolic process,GO:0005980
positive regulation of cell-matrix adhesion,GO:0001954
germinal center B cell differentiation,GO:0002314
negative regulation of leukocyte migration,GO:0002686
negative regulation of mature B cell apoptotic process,GO:0002906
AMP catabolic process,GO:0006196
positive regulation of heart rate,GO:0010460
positive regulation of T cell differentiation in thymus,GO:0033089
response to vitamin E,GO:0033197
response to morphine,GO:0043278
regulation of circadian sleep/wake cycle_ sleep,GO:0045187
regulation of T cell differentiation,GO:0045580
positive regulation of smooth muscle contraction,GO:0045987
dAMP catabolic process,GO:0046059
adenosine metabolic process,GO:0046085
positive regulation of alpha-beta T cell differentiation,GO:0046638
Peyer's patch development,GO:0048541
positive regulation of T cell receptor signaling pathway,GO:0050862
negative regulation of thymocyte apoptotic process,GO:0070244
purine-containing compound salvage,GO:0043101
regulation of cell-cell adhesion mediated by integrin,GO:0033632
motor behavior,GO:0061744
adenosine to inosine editing,GO:0006382
lens fiber cell differentiation,GO:0070306
water transport,GO:0006833
potassium ion homeostasis,GO:0055075
sodium ion homeostasis,GO:0055078
urinary bladder development,GO:0060157
sensory perception of bitter taste,GO:0050913
ribosomal large subunit assembly,GO:0000027
regulation of phosphatidylinositol dephosphorylation,GO:0060304
retinal blood vessel morphogenesis,GO:0061304
renal tubule morphogenesis,GO:0061333
regulation of fatty acid biosynthetic process,GO:0042304
fatty acid oxidation,GO:0019395
vascular wound healing,GO:0061042
positive regulation of neutrophil chemotaxis,GO:0090023
regulation of canonical Wnt signaling pathway,GO:0060828
detection of light stimulus involved in visual perception,GO:0050908
regulation of platelet aggregation,GO:0090330
protein repair,GO:0030091
methionine metabolic process,GO:0006555
insemination,GO:0007320
sphingosine metabolic process,GO:0006670
ER to Golgi ceramide transport,GO:0035621
regulation of epidermis development,GO:0045682
tooth eruption,GO:0044691
regulation of peptidase activity,GO:0052547
cysteine biosynthetic process via cystathionine,GO:0019343
cysteine biosynthetic process,GO:0019344
transsulfuration,GO:0019346
hydrogen sulfide biosynthetic process,GO:0070814
regulation of neurotransmitter secretion,GO:0046928
negative regulation of protein dephosphorylation,GO:0035308
regulation of filopodium assembly,GO:0051489
positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis,GO:1903589
regulation of sprouting angiogenesis,GO:1903670
negative regulation of MDA-5 signaling pathway,GO:0039534
cellular response to dsRNA,GO:0071359
positive regulation of cellular response to insulin stimulus,GO:1900078
negative regulation of endothelial cell apoptotic process,GO:2000352
response to estrogen,GO:0043627
mesonephros development,GO:0001823
pharyngeal system development,GO:0060037
sympathetic nervous system development,GO:0048485
positive regulation of thyroid hormone generation,GO:2000611
mesenchymal to epithelial transition,GO:0060231
TOR signaling,GO:0031929
immune system development,GO:0002520
positive regulation of signal transduction,GO:0009967
response to gamma radiation,GO:0010332
regulation of epithelial cell differentiation,GO:0030856
T cell differentiation in thymus,GO:0033077
negative regulation of mammary gland epithelial cell proliferation,GO:0033600
embryonic hemopoiesis,GO:0035162
ureter maturation,GO:0035799
regulation of CD4-positive_ alpha-beta T cell differentiation,GO:0043370
regulation of neuron apoptotic process,GO:0043523
thymic T cell selection,GO:0045061
T-helper 2 cell differentiation,GO:0045064
regulation of histone H3-K4 methylation,GO:0051569
parathyroid gland development,GO:0060017
mast cell differentiation,GO:0060374
ureteric bud formation,GO:0060676
positive regulation of histone H3-K14 acetylation,GO:0071442
otic vesicle development,GO:0071599
positive regulation of ureteric bud formation,GO:0072107
ureter morphogenesis,GO:0072197
lymphocyte migration,GO:0072676
negative regulation of DNA demethylation,GO:1901536
positive regulation of T-helper 2 cell cytokine production,GO:2000553
regulation of cell cycle G2/M phase transition,GO:1902749
B cell activation,GO:0042113
negative regulation of double-strand break repair via nonhomologous end joining,GO:2001033
positive regulation of glycogen biosynthetic process,GO:0045725
negative regulation of long-chain fatty acid import across plasma membrane,GO:0010748
positive regulation of glucose metabolic process,GO:0010907
positive regulation of fatty acid beta-oxidation,GO:0032000
positive regulation of mesenchymal cell proliferation,GO:0002053
negative regulation of B cell apoptotic process,GO:0002903
regulation of glycogen catabolic process,GO:0005981
regulation of glycogen biosynthetic process,GO:0005979
striated muscle contraction,GO:0006941
metaphase/anaphase transition of mitotic cell cycle,GO:0007091
positive regulation of mitotic metaphase/anaphase transition,GO:0045842
nuclear export,GO:0051168
cholesterol transport,GO:0030301
gene expression,GO:0010467
membrane raft organization,GO:0031579
intracellular cholesterol transport,GO:0032367
low-density lipoprotein particle clearance,GO:0034383
cellular response to steroid hormone stimulus,GO:0071383
establishment of protein localization to membrane,GO:0090150
glucuronoside catabolic process,GO:0019391
alpha-ketoglutarate transport,GO:0015742
succinate transmembrane transport,GO:0071422
citrate transport,GO:0015746
dicarboxylic acid transport,GO:0006835
postsynapse organization,GO:0099173
monoacylglycerol biosynthetic process,GO:0006640
triglyceride metabolic process,GO:0006641
