process,go,genes,id
cellular protein localization,GO:0034613,ENSG00000116586;ENSG00000000457;ENSG00000154342;ENSG00000116903;ENSG00000162946;ENSG00000123240;ENSG00000177685;ENSG00000110107;ENSG00000142186;ENSG00000149357;ENSG00000137474;ENSG00000149564;ENSG00000165478;ENSG00000111262;ENSG00000188906;ENSG00000135404;ENSG00000132341;ENSG00000125249;ENSG00000129474;ENSG00000139926;ENSG00000140274;ENSG00000140254;ENSG00000169375;ENSG00000140623;ENSG00000180096;ENSG00000141013;ENSG00000004975;ENSG00000108387;ENSG00000168646;ENSG00000109062;ENSG00000129654;ENSG00000184640;ENSG00000160460;ENSG00000186522;ENSG00000168385;ENSG00000205726;ENSG00000184702;ENSG00000100167;ENSG00000168036;ENSG00000114251;ENSG00000163558;ENSG00000138758;ENSG00000152208;ENSG00000109270;ENSG00000138660;ENSG00000145362;ENSG00000164190;ENSG00000164402;ENSG00000044115;ENSG00000172201;ENSG00000025039;ENSG00000152661;ENSG00000135541;ENSG00000131023;ENSG00000122545;ENSG00000154997;ENSG00000155876;ENSG00000238227;ENSG00000198947;ENSG00000083750;ENSG00000102401;ENSG00000126016;ENSG00000125354;ENSG00000204160;ENSG00000116954;ENSG00000132881;ENSG00000070831;ENSG00000067606;,773
activation of MAPKK activity,GO:0000186,ENSG00000116586;ENSG00000198400;ENSG00000163485;ENSG00000143674;ENSG00000107968;ENSG00000188906;ENSG00000139625;ENSG00000166225;ENSG00000125378;ENSG00000006432;ENSG00000080815;ENSG00000149930;ENSG00000102882;ENSG00000167193;ENSG00000006062;ENSG00000198909;ENSG00000099860;ENSG00000130758;ENSG00000134313;ENSG00000055332;ENSG00000169967;ENSG00000091436;ENSG00000099942;ENSG00000100030;ENSG00000132155;ENSG00000073803;ENSG00000109270;ENSG00000138798;ENSG00000095015;ENSG00000164326;ENSG00000181104;ENSG00000135341;ENSG00000197442;ENSG00000152822;ENSG00000085511;ENSG00000146648;ENSG00000157764;ENSG00000168615;ENSG00000172680;ENSG00000096968;ENSG00000106799;ENSG00000107263;ENSG00000180815;ENSG00000078061;ENSG00000134259;ENSG00000142733;,774
protein localization to cell junction,GO:1902414,ENSG00000116586;ENSG00000110400;ENSG00000166086;ENSG00000140832;ENSG00000177707;ENSG00000173706;ENSG00000109270;ENSG00000131437;ENSG00000130396;,775
positive regulation of epithelial cell migration,GO:0010634,ENSG00000132698;ENSG00000092969;ENSG00000150760;ENSG00000111537;ENSG00000100644;ENSG00000103769;ENSG00000103811;ENSG00000197943;ENSG00000108518;ENSG00000005884;ENSG00000125398;ENSG00000248099;ENSG00000171132;ENSG00000115310;ENSG00000115353;ENSG00000115109;ENSG00000074054;ENSG00000204217;ENSG00000127831;ENSG00000197122;ENSG00000124181;ENSG00000100034;ENSG00000131375;ENSG00000163513;ENSG00000163539;ENSG00000114378;ENSG00000070193;ENSG00000164171;ENSG00000124782;ENSG00000112486;ENSG00000006128;ENSG00000147459;ENSG00000136960;ENSG00000122694;ENSG00000094631;ENSG00000177606;,776
epithelial cell morphogenesis,GO:0003382,ENSG00000132698;ENSG00000150977;ENSG00000188026;ENSG00000127152;ENSG00000105738;ENSG00000115109;ENSG00000163501;ENSG00000136068;ENSG00000129116;ENSG00000083857;ENSG00000113749;ENSG00000164488;ENSG00000165215;ENSG00000083307;ENSG00000169083;ENSG00000124429;ENSG00000101842;,777
regulation of vesicle-mediated transport,GO:0060627,ENSG00000132698;ENSG00000099250;ENSG00000103769;ENSG00000182511;ENSG00000140943;ENSG00000129204;ENSG00000220205;ENSG00000132356;ENSG00000164756;,778
regulation of cell migration,GO:0030334,ENSG00000160789;ENSG00000118193;ENSG00000076356;ENSG00000035403;ENSG00000198728;ENSG00000065613;ENSG00000007372;ENSG00000166025;ENSG00000154096;ENSG00000154133;ENSG00000136040;ENSG00000182957;ENSG00000129474;ENSG00000142208;ENSG00000128881;ENSG00000171877;ENSG00000182885;ENSG00000140961;ENSG00000140950;ENSG00000141503;ENSG00000065320;ENSG00000108798;ENSG00000120063;ENSG00000101680;ENSG00000067900;ENSG00000053747;ENSG00000171124;ENSG00000076826;ENSG00000105221;ENSG00000079385;ENSG00000143878;ENSG00000034510;ENSG00000178568;ENSG00000135919;ENSG00000135905;ENSG00000124171;ENSG00000124205;ENSG00000130702;ENSG00000128268;ENSG00000196576;ENSG00000121807;ENSG00000164050;ENSG00000067560;ENSG00000114554;ENSG00000004399;ENSG00000114019;ENSG00000158092;ENSG00000113838;ENSG00000157005;ENSG00000169744;ENSG00000180613;ENSG00000182168;ENSG00000068796;ENSG00000113657;ENSG00000085382;ENSG00000112769;ENSG00000196569;ENSG00000118515;ENSG00000136238;ENSG00000221866;ENSG00000164885;ENSG00000223443;ENSG00000120899;ENSG00000104205;ENSG00000136960;ENSG00000153310;ENSG00000107201;ENSG00000148400;ENSG00000183943;ENSG00000205542;ENSG00000158164;ENSG00000102409;ENSG00000158427;ENSG00000126016;ENSG00000198753;ENSG00000196924;ENSG00000130827;ENSG00000154620;ENSG00000143013;ENSG00000162614;ENSG00000162601;ENSG00000127603;ENSG00000179051;,779
protein localization to nucleus,GO:0034504,ENSG00000160789;ENSG00000143337;ENSG00000152804;ENSG00000109906;ENSG00000135679;ENSG00000125378;ENSG00000126778;ENSG00000100625;ENSG00000171016;ENSG00000205423;ENSG00000172530;ENSG00000108953;ENSG00000175826;ENSG00000108821;ENSG00000125398;ENSG00000064687;ENSG00000178951;ENSG00000179218;ENSG00000006712;ENSG00000084734;ENSG00000082898;ENSG00000115020;ENSG00000101144;ENSG00000163132;ENSG00000171566;ENSG00000128602;ENSG00000164690;ENSG00000105993;ENSG00000197579;ENSG00000136936;ENSG00000136816;ENSG00000136827;ENSG00000162645;ENSG00000142676;ENSG00000107404;,780
mitotic nuclear envelope reassembly,GO:0007084,ENSG00000160789;ENSG00000165476;ENSG00000175334;ENSG00000176915;ENSG00000100749;ENSG00000105568;ENSG00000113575;ENSG00000168476;ENSG00000221914;ENSG00000102119;,781
establishment or maintenance of microtubule cytoskeleton polarity,GO:0030951,ENSG00000160789;ENSG00000175216;ENSG00000076826;ENSG00000142945;,782
negative regulation of cardiac muscle hypertrophy in response to stress,GO:1903243,ENSG00000160789;ENSG00000058668;ENSG00000150907;ENSG00000166949;ENSG00000146147;ENSG00000116285;,783
protein import into nucleus,GO:0006606,ENSG00000160789;ENSG00000047410;ENSG00000198700;ENSG00000069248;ENSG00000135744;ENSG00000189319;ENSG00000203772;ENSG00000110713;ENSG00000205339;ENSG00000133794;ENSG00000121671;ENSG00000149196;ENSG00000215021;ENSG00000133704;ENSG00000188906;ENSG00000139174;ENSG00000111581;ENSG00000136044;ENSG00000132341;ENSG00000102678;ENSG00000102753;ENSG00000065150;ENSG00000153487;ENSG00000196497;ENSG00000100906;ENSG00000142208;ENSG00000185823;ENSG00000140464;ENSG00000169371;ENSG00000103197;ENSG00000155393;ENSG00000102900;ENSG00000102898;ENSG00000140943;ENSG00000108559;ENSG00000129197;ENSG00000141510;ENSG00000125686;ENSG00000168610;ENSG00000108424;ENSG00000182481;ENSG00000125450;ENSG00000066044;ENSG00000105576;ENSG00000213024;ENSG00000084734;ENSG00000138083;ENSG00000170577;ENSG00000132661;ENSG00000124207;ENSG00000183255;ENSG00000093000;ENSG00000157500;ENSG00000114030;ENSG00000186432;ENSG00000174137;ENSG00000138814;ENSG00000113569;ENSG00000086200;ENSG00000145675;ENSG00000083312;ENSG00000120709;ENSG00000113119;ENSG00000204764;ENSG00000184845;ENSG00000124789;ENSG00000112242;ENSG00000158553;ENSG00000204569;ENSG00000124762;ENSG00000196911;ENSG00000221900;ENSG00000196313;ENSG00000185467;ENSG00000064419;ENSG00000174429;ENSG00000137040;ENSG00000165025;ENSG00000095319;ENSG00000126883;ENSG00000198088;ENSG00000101888;ENSG00000025800;ENSG00000117408;,784
nucleus organization,GO:0006997,ENSG00000160789;ENSG00000163041;ENSG00000137497;ENSG00000149554;ENSG00000118308;ENSG00000174106;ENSG00000254505;ENSG00000177082;ENSG00000122304;ENSG00000132612;ENSG00000131165;ENSG00000132475;ENSG00000176108;ENSG00000255112;ENSG00000119541;ENSG00000130724;ENSG00000136717;ENSG00000101421;ENSG00000180957;ENSG00000163635;ENSG00000083937;ENSG00000131018;ENSG00000147457;ENSG00000164695;ENSG00000086065;ENSG00000135052;ENSG00000084073;,785
nuclear envelope organization,GO:0006998,ENSG00000160789;ENSG00000165476;ENSG00000111224;ENSG00000174106;ENSG00000102900;ENSG00000132612;ENSG00000166822;ENSG00000175826;ENSG00000104936;ENSG00000167098;ENSG00000061656;ENSG00000100242;ENSG00000113569;ENSG00000161904;ENSG00000164828;ENSG00000164744;ENSG00000168476;ENSG00000136827;ENSG00000084073;,786
ventricular cardiac muscle cell development,GO:0055015,ENSG00000160789;ENSG00000170312;ENSG00000133026;ENSG00000163217;ENSG00000115641;ENSG00000134057;ENSG00000183072;ENSG00000057663;ENSG00000135547;ENSG00000180053;,787
negative regulation of mesenchymal cell proliferation,GO:0072201,ENSG00000160789;ENSG00000085741;ENSG00000114251;ENSG00000106443;ENSG00000105894;ENSG00000178585;,788
negative regulation of release of cytochrome c from mitochondria,GO:0090201,ENSG00000160789;ENSG00000108179;ENSG00000017427;ENSG00000170855;ENSG00000129473;ENSG00000142208;ENSG00000217930;ENSG00000140939;ENSG00000141480;ENSG00000101200;ENSG00000171552;ENSG00000181061;ENSG00000233276;ENSG00000198836;ENSG00000169230;ENSG00000185345;ENSG00000019991;ENSG00000120885;ENSG00000165060;ENSG00000101843;,789
positive regulation of histone H3-K9 trimethylation,GO:1900114,ENSG00000160789;ENSG00000142025;ENSG00000131845;ENSG00000169057;,790
regulation of protein localization to nucleus,GO:1900180,ENSG00000160789;ENSG00000127445;ENSG00000184900;ENSG00000186575;ENSG00000177688;ENSG00000174697;ENSG00000164690;ENSG00000159363;,791
negative regulation of extrinsic apoptotic signaling pathway,GO:2001237,ENSG00000160789;ENSG00000142224;ENSG00000015171;ENSG00000099250;ENSG00000148737;ENSG00000173039;ENSG00000174516;ENSG00000084207;ENSG00000085733;ENSG00000137693;ENSG00000017427;ENSG00000125378;ENSG00000131981;ENSG00000137801;ENSG00000140939;ENSG00000131467;ENSG00000167815;ENSG00000115760;ENSG00000115170;ENSG00000091409;ENSG00000138448;ENSG00000003402;ENSG00000171951;ENSG00000101349;ENSG00000197122;ENSG00000181788;ENSG00000197386;ENSG00000154447;ENSG00000113520;ENSG00000137275;ENSG00000001084;ENSG00000146247;ENSG00000023287;ENSG00000104432;ENSG00000106799;ENSG00000169083;ENSG00000023909;ENSG00000116288;,792
positive regulation of excitatory synapse assembly,GO:1904891,ENSG00000196189;ENSG00000214376;ENSG00000154764;,793
T cell differentiation involved in immune response,GO:0002292,ENSG00000196189;ENSG00000158869;ENSG00000166527;ENSG00000166523;,794
regulation of endothelial cell migration,GO:0010594,ENSG00000196189;ENSG00000135821;ENSG00000126785;ENSG00000140992;ENSG00000213853;ENSG00000079385;ENSG00000164619;ENSG00000105894;ENSG00000169398;,795
T-helper 1 cell differentiation,GO:0045063,ENSG00000196189;ENSG00000189403;ENSG00000006042;ENSG00000104856;ENSG00000115604;ENSG00000138795;,796
ATP transport,GO:0015867,ENSG00000160785;ENSG00000122912;ENSG00000185933;ENSG00000177542;ENSG00000162241;ENSG00000183032;ENSG00000197119;ENSG00000140107;ENSG00000013306;ENSG00000125454;ENSG00000181240;ENSG00000125648;ENSG00000181035;ENSG00000115840;ENSG00000182902;ENSG00000100075;ENSG00000100372;ENSG00000114120;ENSG00000151475;ENSG00000151729;ENSG00000145832;ENSG00000152661;ENSG00000075303;ENSG00000004864;ENSG00000148339;ENSG00000169100;ENSG00000077713;ENSG00000005022;ENSG00000085491;,797
branched-chain amino acid catabolic process,GO:0009083,ENSG00000160785;ENSG00000196177;ENSG00000075239;ENSG00000151498;ENSG00000060982;ENSG00000119711;ENSG00000128928;ENSG00000103507;ENSG00000248098;ENSG00000105552;ENSG00000198130;ENSG00000078070;ENSG00000163644;ENSG00000131844;ENSG00000083123;ENSG00000106049;ENSG00000091140;ENSG00000148090;ENSG00000072506;ENSG00000137992;,798
amino acid transport,GO:0006865,ENSG00000160785;ENSG00000107819;ENSG00000156398;ENSG00000183605;ENSG00000110436;ENSG00000149150;ENSG00000168003;ENSG00000162241;ENSG00000180773;ENSG00000111181;ENSG00000111371;ENSG00000134294;ENSG00000139209;ENSG00000072041;ENSG00000139514;ENSG00000155465;ENSG00000092068;ENSG00000139974;ENSG00000197119;ENSG00000140107;ENSG00000103042;ENSG00000103064;ENSG00000166558;ENSG00000103257;ENSG00000167703;ENSG00000157637;ENSG00000105143;ENSG00000021488;ENSG00000130876;ENSG00000105281;ENSG00000138079;ENSG00000115902;ENSG00000144040;ENSG00000169507;ENSG00000099960;ENSG00000131389;ENSG00000163817;ENSG00000188338;ENSG00000013293;ENSG00000151012;ENSG00000174358;ENSG00000079215;ENSG00000177058;ENSG00000145832;ENSG00000011083;ENSG00000186335;ENSG00000123643;ENSG00000164466;ENSG00000119899;ENSG00000112394;ENSG00000003989;ENSG00000164893;ENSG00000136997;ENSG00000106688;ENSG00000047597;ENSG00000017483;ENSG00000165349;ENSG00000196517;ENSG00000040487;,799
branched-chain amino acid transport,GO:0015803,ENSG00000160785;ENSG00000103042;ENSG00000177058;,800
positive regulation of nucleic acid-templated transcription,GO:1903508,ENSG00000160783;ENSG00000152382;ENSG00000077522;ENSG00000150347;ENSG00000060339;ENSG00000108175;ENSG00000148677;ENSG00000107438;ENSG00000110713;ENSG00000074319;ENSG00000110711;ENSG00000110330;ENSG00000186174;ENSG00000111653;ENSG00000111727;ENSG00000135144;ENSG00000151849;ENSG00000083544;ENSG00000129465;ENSG00000072110;ENSG00000100815;ENSG00000182979;ENSG00000166501;ENSG00000176046;ENSG00000080603;ENSG00000089280;ENSG00000102931;ENSG00000067955;ENSG00000141052;ENSG00000008838;ENSG00000073584;ENSG00000131470;ENSG00000108604;ENSG00000132471;ENSG00000141380;ENSG00000123143;ENSG00000105085;ENSG00000130402;ENSG00000104825;ENSG00000084676;ENSG00000119760;ENSG00000057935;ENSG00000242441;ENSG00000132326;ENSG00000125968;ENSG00000198646;ENSG00000171222;ENSG00000184402;ENSG00000185651;ENSG00000008324;ENSG00000175792;ENSG00000144893;ENSG00000136518;ENSG00000173011;ENSG00000077684;ENSG00000234602;ENSG00000152409;ENSG00000213523;ENSG00000155868;ENSG00000111837;ENSG00000146109;ENSG00000204209;ENSG00000064995;ENSG00000112033;ENSG00000124641;ENSG00000112282;ENSG00000106245;ENSG00000077080;ENSG00000158941;ENSG00000157110;ENSG00000083168;ENSG00000140396;ENSG00000147649;ENSG00000119401;ENSG00000160563;ENSG00000102103;ENSG00000101951;ENSG00000102387;ENSG00000166707;ENSG00000174460;ENSG00000123728;ENSG00000102243;ENSG00000116455;ENSG00000117318;ENSG00000120656;ENSG00000214114;ENSG00000142599;,801
chromosome segregation,GO:0007059,ENSG00000160783;ENSG00000143228;ENSG00000143862;ENSG00000117650;ENSG00000117697;ENSG00000117724;ENSG00000155229;ENSG00000154473;ENSG00000165660;ENSG00000149503;ENSG00000175334;ENSG00000137497;ENSG00000149273;ENSG00000198382;ENSG00000135476;ENSG00000136014;ENSG00000075188;ENSG00000165480;ENSG00000136169;ENSG00000100918;ENSG00000128944;ENSG00000137812;ENSG00000104147;ENSG00000166797;ENSG00000103275;ENSG00000122390;ENSG00000072864;ENSG00000166595;ENSG00000102974;ENSG00000102901;ENSG00000166451;ENSG00000167513;ENSG00000167842;ENSG00000166579;ENSG00000076382;ENSG00000160602;ENSG00000010244;ENSG00000131747;ENSG00000012048;ENSG00000182628;ENSG00000146872;ENSG00000089685;ENSG00000080986;ENSG00000085415;ENSG00000101782;ENSG00000154839;ENSG00000129933;ENSG00000104884;ENSG00000105568;ENSG00000144021;ENSG00000169679;ENSG00000152253;ENSG00000198586;ENSG00000163535;ENSG00000123485;ENSG00000244588;ENSG00000125888;ENSG00000149636;ENSG00000198900;ENSG00000159055;ENSG00000100038;ENSG00000134108;ENSG00000129810;ENSG00000114670;ENSG00000118007;ENSG00000145241;ENSG00000138778;ENSG00000153044;ENSG00000113580;ENSG00000164611;ENSG00000169220;ENSG00000096063;ENSG00000112742;ENSG00000203760;ENSG00000120253;ENSG00000066923;ENSG00000184661;ENSG00000171320;ENSG00000164754;ENSG00000198887;ENSG00000136861;ENSG00000119408;ENSG00000148335;ENSG00000124486;ENSG00000215301;ENSG00000102409;ENSG00000005022;ENSG00000101972;ENSG00000130695;ENSG00000180198;ENSG00000142945;ENSG00000116273;,802
bone development,GO:0060348,ENSG00000242252;ENSG00000034971;ENSG00000198682;ENSG00000107831;ENSG00000066468;ENSG00000162337;ENSG00000078246;ENSG00000139219;ENSG00000125084;ENSG00000172819;ENSG00000120659;ENSG00000157227;ENSG00000125378;ENSG00000133985;ENSG00000100815;ENSG00000166794;ENSG00000170776;ENSG00000167397;ENSG00000103056;ENSG00000167522;ENSG00000167526;ENSG00000183018;ENSG00000141127;ENSG00000131759;ENSG00000108786;ENSG00000136457;ENSG00000157637;ENSG00000141627;ENSG00000138002;ENSG00000171456;ENSG00000196562;ENSG00000087460;ENSG00000077092;ENSG00000164087;ENSG00000114439;ENSG00000109685;ENSG00000170365;ENSG00000120519;ENSG00000145431;ENSG00000145545;ENSG00000171522;ENSG00000113658;ENSG00000113140;ENSG00000174705;ENSG00000152661;ENSG00000122691;ENSG00000005073;ENSG00000147316;ENSG00000159167;ENSG00000137573;ENSG00000156103;ENSG00000104415;ENSG00000159899;ENSG00000095209;ENSG00000106991;ENSG00000148343;ENSG00000102174;ENSG00000184675;ENSG00000102024;ENSG00000134253;ENSG00000117385;,803
response to vitamin D,GO:0033280,ENSG00000242252;ENSG00000073756;ENSG00000152266;ENSG00000077498;ENSG00000010610;ENSG00000111012;ENSG00000121060;ENSG00000129355;ENSG00000105329;ENSG00000019186;ENSG00000101144;ENSG00000169245;ENSG00000118785;ENSG00000113739;ENSG00000159167;ENSG00000165272;ENSG00000102174;ENSG00000162551;,804
osteoblast development,GO:0002076,ENSG00000242252;ENSG00000120332;ENSG00000133895;ENSG00000162337;ENSG00000087494;ENSG00000166949;ENSG00000130522;ENSG00000074047;ENSG00000119042;ENSG00000068024;ENSG00000100068;ENSG00000144791;ENSG00000160801;ENSG00000120149;ENSG00000124813;ENSG00000105996;ENSG00000087085;ENSG00000258227;ENSG00000164690;,805
cell aging,GO:0007569,ENSG00000242252;ENSG00000188783;ENSG00000170312;ENSG00000096717;ENSG00000108175;ENSG00000150593;ENSG00000174775;ENSG00000166333;ENSG00000086991;ENSG00000135111;ENSG00000139618;ENSG00000140464;ENSG00000103423;ENSG00000070444;ENSG00000141510;ENSG00000121068;ENSG00000171791;ENSG00000090339;ENSG00000213024;ENSG00000169756;ENSG00000142168;ENSG00000159256;ENSG00000240972;ENSG00000073282;ENSG00000181163;ENSG00000111832;ENSG00000164442;ENSG00000165392;ENSG00000198793;,806
response to mechanical stimulus,GO:0009612,ENSG00000242252;ENSG00000133048;ENSG00000159388;ENSG00000082482;ENSG00000143632;ENSG00000107562;ENSG00000107643;ENSG00000109991;ENSG00000173039;ENSG00000175592;ENSG00000134954;ENSG00000130037;ENSG00000011465;ENSG00000111199;ENSG00000089041;ENSG00000133110;ENSG00000136155;ENSG00000157227;ENSG00000170345;ENSG00000100739;ENSG00000134138;ENSG00000137801;ENSG00000118898;ENSG00000108684;ENSG00000167941;ENSG00000108821;ENSG00000005381;ENSG00000154864;ENSG00000134046;ENSG00000171223;ENSG00000130522;ENSG00000125740;ENSG00000163126;ENSG00000168542;ENSG00000115415;ENSG00000115457;ENSG00000163501;ENSG00000125965;ENSG00000197122;ENSG00000159200;ENSG00000132170;ENSG00000163513;ENSG00000067560;ENSG00000169860;ENSG00000171522;ENSG00000134057;ENSG00000131711;ENSG00000169194;ENSG00000135587;ENSG00000164442;ENSG00000120256;ENSG00000164828;ENSG00000146733;ENSG00000070669;ENSG00000213199;ENSG00000091879;ENSG00000136574;ENSG00000120899;ENSG00000185920;ENSG00000041982;ENSG00000167136;ENSG00000177606;ENSG00000011021;,807
response to gravity,GO:0009629,ENSG00000242252;ENSG00000122180;ENSG00000175592;ENSG00000170345;ENSG00000067225;ENSG00000138379;ENSG00000113140;ENSG00000074771;ENSG00000106089;,808
response to inorganic substance,GO:0010035,ENSG00000242252;ENSG00000171862;ENSG00000173039;ENSG00000166148;ENSG00000138363;ENSG00000101126;ENSG00000101210;ENSG00000159131;ENSG00000100170;ENSG00000157103;ENSG00000163930;ENSG00000080819;ENSG00000131711;ENSG00000164761;ENSG00000148218;,809
response to activity,GO:0014823,ENSG00000242252;ENSG00000136634;ENSG00000170312;ENSG00000171862;ENSG00000180176;ENSG00000121691;ENSG00000121671;ENSG00000214872;ENSG00000175564;ENSG00000110395;ENSG00000139287;ENSG00000008405;ENSG00000134871;ENSG00000051523;ENSG00000132510;ENSG00000108840;ENSG00000105550;ENSG00000121966;ENSG00000115263;ENSG00000144381;ENSG00000118260;ENSG00000135932;ENSG00000101405;ENSG00000088305;ENSG00000124253;ENSG00000010256;ENSG00000181092;ENSG00000109819;ENSG00000138796;ENSG00000132356;ENSG00000083720;ENSG00000113734;ENSG00000153162;ENSG00000078401;ENSG00000112033;ENSG00000001084;ENSG00000112096;ENSG00000130368;ENSG00000136244;ENSG00000174697;ENSG00000105894;ENSG00000106538;ENSG00000091879;ENSG00000147465;ENSG00000253729;ENSG00000185122;ENSG00000148218;ENSG00000148339;ENSG00000023909;ENSG00000198793;,810
response to nutrient levels,GO:0031667,ENSG00000242252;ENSG00000198400;ENSG00000117707;ENSG00000075891;ENSG00000070031;ENSG00000180176;ENSG00000152266;ENSG00000110497;ENSG00000084207;ENSG00000085741;ENSG00000137673;ENSG00000006831;ENSG00000139287;ENSG00000076555;ENSG00000139515;ENSG00000057593;ENSG00000136305;ENSG00000100652;ENSG00000140263;ENSG00000131873;ENSG00000140950;ENSG00000051523;ENSG00000108773;ENSG00000159224;ENSG00000108821;ENSG00000108443;ENSG00000213218;ENSG00000136487;ENSG00000136488;ENSG00000204414;ENSG00000259384;ENSG00000134046;ENSG00000071655;ENSG00000077463;ENSG00000105550;ENSG00000131408;ENSG00000119772;ENSG00000138075;ENSG00000143921;ENSG00000115386;ENSG00000080293;ENSG00000101460;ENSG00000100983;ENSG00000197122;ENSG00000101017;ENSG00000142168;ENSG00000128272;ENSG00000157017;ENSG00000197548;ENSG00000180432;ENSG00000181092;ENSG00000198836;ENSG00000109819;ENSG00000109424;ENSG00000164136;ENSG00000131711;ENSG00000113161;ENSG00000124523;ENSG00000172179;ENSG00000204371;ENSG00000118689;ENSG00000112096;ENSG00000146733;ENSG00000005421;ENSG00000070669;ENSG00000214253;ENSG00000174697;ENSG00000106538;ENSG00000147465;ENSG00000165029;ENSG00000148218;ENSG00000148346;ENSG00000036473;ENSG00000184481;ENSG00000198198;ENSG00000198793;,811
